거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"31,000",,2002,2021,역삼동,대우디오빌,1,5,30.03,,720-25,11680,4,,
"61,000",,2002,2021,역삼동,트레벨,1,6,33.48,,766-8,11680,3,,
"198,000",,2005,2021,역삼동,역삼래미안,1,7,59.73,,757,11680,14,,
"193,800",,2005,2021,역삼동,역삼래미안,1,7,59.4,,757,11680,16,,
"91,000",,2012,2021,역삼동,강남서해더블루,1,9,66.04,,796-29,11680,10,,
"80,000",,2002,2021,역삼동,갤러리하우스,1,11,84.95,,783-3,11680,1,,
"90,000",,2006,2021,역삼동,역삼디오슈페리움,1,11,46.9,,832-5,11680,16,,
"255,000",,2006,2021,역삼동,역삼푸르지오,1,11,84.9097,,754-1,11680,7,,
"85,800",,2006,2021,역삼동,역삼I'PARK,1,12,28.246,,713-11,11680,10,,
"99,000",,2012,2021,역삼동,강남서해더블루,1,13,80.2,,796-29,11680,7,,
"198,000",,2005,2021,역삼동,역삼래미안,1,14,59.53,,757,11680,8,,
"24,000",,1999,2021,역삼동,현대휴먼터치빌,1,15,25.92,,606-18,11680,6,,
"291,000",,2016,2021,역삼동,역삼자이,1,16,114.019,,711-3,11680,12,,
"38,500",,2002,2021,역삼동,대우디오빌,1,16,39.13,,720-25,11680,9,,
"80,000",,2002,2021,역삼동,대우디오빌,1,16,59.505,,720-25,11680,19,,
"77,500",,2006,2021,역삼동,강남한솔,1,18,74.61,,794-19,11680,2,,
"77,500",,2006,2021,역삼동,강남한솔,1,18,74.61,,794-19,11680,2,21.02.10,O
"66,000",,2002,2021,역삼동,갤러리하우스,1,19,71.66,,783-3,11680,1,,
"200,000",,2005,2021,역삼동,역삼래미안,1,20,59.4,,757,11680,14,,
"172,000",,1998,2021,역삼동,동부센트레빌,1,20,59.97,,716,11680,17,,
"43,500",,2004,2021,역삼동,대우디오빌플러스,1,21,43.99,,824-25,11680,11,,
"34,800",,2002,2021,역삼동,대우디오빌,1,21,30.03,,720-25,11680,18,,
"117,000",,2002,2021,역삼동,로얄빌리지,1,22,83.12,,644-6,11680,4,,
"110,000",,2012,2021,역삼동,강남서해더블루,1,22,80.2,,796-29,11680,6,,
"67,700",,2002,2021,역삼동,역삼동하나빌,1,25,52.31,,681-26,11680,13,,
"205,000",,2006,2021,역삼동,역삼푸르지오,1,26,59.8848,,754-1,11680,24,,
"208,000",,2010,2021,역삼동,래미안그레이튼(진달래2차),1,27,59.78,,762-3,11680,23,,
"149,000",,2007,2021,역삼동,쌍용플레티넘밸류,1,29,110.57,,826-37,11680,8,,
"19,000",,2014,2021,역삼동,이스턴오피스텔,1,29,15.25,,735-15,11680,15,,
"201,000",,2005,2021,역삼동,e-편한세상,1,29,59.606,,755-4,11680,4,,
"258,000",,2014,2021,역삼동,테헤란아이파크,1,30,92.6232,,709-5,11680,2,,
"323,000",,2006,2021,역삼동,역삼I'PARK,1,30,144.011,,713-11,11680,21,,
"198,000",,2005,2021,역삼동,역삼래미안,1,30,59.4,,757,11680,13,,
"198,000",,2005,2021,역삼동,역삼래미안,1,30,59.4,,757,11680,13,21.02.25,O
"208,000",,2005,2021,역삼동,e-편한세상,1,30,59.606,,755-4,11680,4,,
"264,900",,2005,2021,역삼동,e-편한세상,1,31,84.991,,755-4,11680,2,,
"215,000",,1984,2021,개포동,현대1차101동~106동,1,1,95.4,,653,11680,9,,
"178,000",,1983,2021,개포동,개포주공6단지,1,1,53.06,,185,11680,3,,
"181,000",,1987,2021,개포동,우성8,1,3,78.93,,179,11680,3,,
"150,000",,1992,2021,개포동,성원대치2단지아파트,1,4,49.86,,12,11680,12,,
"157,000",,1992,2021,개포동,삼익대청아파트,1,4,60,,12,11680,13,,
"220,000",,1984,2021,개포동,개포우성3차,1,5,104.43,,652,11680,3,,
"220,000",,1984,2021,개포동,개포우성3차,1,5,104.43,,652,11680,3,21.02.01,O
"200,000",,1983,2021,개포동,개포주공7단지,1,7,60.76,,185,11680,9,,
"200,000",,2019,2021,개포동,래미안블레스티지,1,7,59.888,,1280,11680,2,,
