아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
강동리버스트4단지,73A㎡,서울시 강동구 강일동 114,서울시 강동구 아리수로93가길 110,1239.0,597.0,72500.0,"7억 3,000~10억 2,000","3억 4,000~4억 7,000","5,000/140~3억/50","5,000/140~3억/50"
강동리버스트4단지,87A,서울시 강동구 강일동 114,서울시 강동구 아리수로93가길 110,1239.0,597.0,82500.0,"8억~11억 5,000","3억 8,000~5억","5,000/130~3억/50","5,000/130~3억/50"
강동리버스트8단지,71B㎡,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,,,,,
강동리버스트8단지,72A㎡,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,72500,,4억,,
강동리버스트8단지,85B㎡,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,,,,,
강동리버스트8단지,86A,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,82500,,"4억 3,000~4억 5,000",3억/50~3억/60,3억/50~3억/60
강일리버파크10단지,109A㎡,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,72500.0,,,,
강일리버파크10단지,110C㎡,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,,"9억 5,000~11억 6,000","4억 7,500~5억","2억 5,000/100","2억 5,000/100"
강일리버파크10단지,110B㎡,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,82500,"9억 5,000~12억","5억 4,000",3억/90,3억/90
강일리버파크10단지,142,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,,"14억~14억 5,000",7억,2억/200,2억/200
강일리버파크1단지,82A㎡,서울시 강동구 강일동 665,서울시 강동구 아리수로93가길 25,282.0,106.0,72500.0,,,,
강일리버파크1단지,110C㎡,서울시 강동구 강일동 665,서울시 강동구 아리수로93가길 25,282.0,106.0,,"10억 3,000~11억","4억 3,000~5억",,
강일리버파크1단지,110B㎡,서울시 강동구 강일동 665,서울시 강동구 아리수로93가길 25,282.0,106.0,,"9억 5,000~11억 5,000",,"2억 5,000/80~3억 5,000/40","2억 5,000/80~3억 5,000/40"
강일리버파크1단지,111A,서울시 강동구 강일동 665,서울시 강동구 아리수로93가길 25,282.0,106.0,82500,,,,
강일리버파크2단지,110C㎡,서울시 강동구 강일동 668,서울시 강동구 아리수로97길 68,442.0,268.0,,"12억 5,000",,,
강일리버파크2단지,110A㎡,서울시 강동구 강일동 668,서울시 강동구 아리수로97길 68,442.0,268.0,72500,"8억 3,000~8억 5,000","4억 5,000",3억/100,3억/100
강일리버파크2단지,111B,서울시 강동구 강일동 668,서울시 강동구 아리수로97길 68,442.0,268.0,82500,12억,"5억 3,000~5억 5,000","3억/100~3억 5,000/45","3억/100~3억 5,000/45"
강일리버파크3단지,82A㎡,서울시 강동구 강일동 674,서울시 강동구 아리수로93길 40,987.0,615.0,72500.0,"8억 5,000~9억",5억,2억/160,2억/160
강일리버파크3단지,82C2㎡,서울시 강동구 강일동 674,서울시 강동구 아리수로93길 40,987.0,615.0,,,,,
강일리버파크3단지,82D2㎡,서울시 강동구 강일동 674,서울시 강동구 아리수로93길 40,987.0,615.0,,9억,"4억 5,000~4억 8,000",,
강일리버파크3단지,83B2㎡,서울시 강동구 강일동 674,서울시 강동구 아리수로93길 40,987.0,615.0,82500,8억,4억,,
강일리버파크3단지,109A㎡,서울시 강동구 강일동 674,서울시 강동구 아리수로93길 40,987.0,615.0,,"10억 6,000",,"1억 5,000/140","1억 5,000/140"
강일리버파크3단지,110B㎡,서울시 강동구 강일동 674,서울시 강동구 아리수로93길 40,987.0,615.0,,"8억 1,000~8억 6,000","4억 4,000~5억","3억 9,000/50~4억/70","3억 9,000/50~4억/70"
